apicall_954834405d762e3b854af89d3841eb2a,vyžádat nedostupný
appapplyvoucher_f3547ae5e06426d87312eff7dda775aa,Celková cena
appapplyvoucher_ec1f68c64fcaf8260cfacf58cd4d4af7,Využijte našich exkluzivních nabídek
appapplyvoucher_e15b9d349af7453e81350c8ffd2a7615,Je nutné zadat kód kuponu
appapplyvoucher_f49f486fa8a77bcf2d4506587422ed4f,Kód voucher je neplatný
appapplyvoucher_a866f5cd5e6f4bc4e3ccb09293101e4e,Voucher úspěšně aplikován do košíku
appapplyvoucher_e062b646b60fd5fffc3c21afe87eb2ce,Tato funkce není aktivní v tomto poukazu
appcheckorderstatus_dfcd44bdec4088a7597f5a3d85c6d5bf,Nelze načíst vozík
appcheckorderstatus_430328c36edf7e197527273c216533a2,Objednat vytvořený tímto košíku
appcheckorderstatus_a00acc9b49d721d1e3006715a0ce7014,E-mailová adresa není platná
appcheckorderstatus_dcf951059ca444f87d296d3b192783e6,Zákazník s tímto e-mailem neexistuje
appcheckout_3f324964e384daea4b317e5f179016df,Vozík id chybí
appcheckout_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appcheckout_694e8d1f2ee056f98ee488bdc4982d73,Množství
appcheckout_63d5049791d9d79d86e9a108b0a999ca,Odkaz
appcheckout_287234a1ff35a314b5b6bc4e5828e745,Atributy
appcheckout_da7a26ae7679cdec15e19468cdc4c66d,Nákupní košík Informace byly úspěšně načteny
appcheckout_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appcheckout_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appcheckout_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appcheckout_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appcheckout_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appcheckout_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appcheckout_f3547ae5e06426d87312eff7dda775aa,Celková cena
appcheckout_f633584ed6ab75aa538bdf7c9269aac1,(Dodatečné náklady
appcheckout_a00acc9b49d721d1e3006715a0ce7014,E-mailová adresa není platná
appcheckout_dcf951059ca444f87d296d3b192783e6,Zákazník s tímto e-mailem neexistuje
appcheckout_04f20f929ad93c8a94dbf706e05a9bd6,Nepodařilo se získat podrobnosti dodací adresu
appcheckout_700c53d8cec1b1e9cf6c247944126166,Při aktualizaci svůj vůz došlo k chybě.
appcheckout_78c46e5c6e68799668e5b0af361e8e5d,Neexistují žádné nosiče, které dodávají na některé adresy, které jste vybrali.
appcheckout_3ce77aba56f064e8e177a01a7d88d415,Neexistují žádné nosiče, které dodávají na jednu adresu jste vybrali.
appcheckout_d049e05d0babc4c1643c4b36397be24d,Neexistují žádné nosiče, které dodávají na adresu, kterou jste vybrali.
appcheckout_51dfe3dfbcd0ea5974aba6663a660a2b,No Delivery Method Required
appcheckout_b24ce0cd392a5b0b8dedc66c25213594,Volný, uvolnit
appcheckout_6e15f72a51837e528df003792a367360,Ne Způsob doručení je k dispozici
appcheckout_e01c4498102e120635a233f6ece469da,Nelze získat údaje fakturační adresa
appcore_453584dcf31a45f1a2285e736091ab88,Mobile App modulu je zakázáno.
appcore_eef6d0bfb2baac0933acaeb8386f3bf3,Mobile App modul je buď neaktivní nebo není nainstalována.
appcore_de0d079814594c9a07785c5433b7830f,Nelze získat seznam produktů
appcreateorder_3f324964e384daea4b317e5f179016df,Vozík id chybí
appcreateorder_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appcreateorder_a00acc9b49d721d1e3006715a0ce7014,E-mailová adresa není platná
appcreateorder_dcf951059ca444f87d296d3b192783e6,Zákazník s tímto e-mailem neexistuje
appcreateorder_04d56d3845162acfb694a4a9e43652d2,Můžete \ 't načíst stav objednávky
appcreateorder_bd46744c55c6dcf066dd125fedf954a6,Secure key neodpovídá
appcreateorder_cd53515e3ac8aaa8cbef5e3d66d934e1,CartRule použitý v tomto košíku není platný a byl stažen z košíku
appcreateorder_9056f5dba2507645e07d0c7b55c74c90,Nákupní košík je prázdný.
appcreateorder_f7328eec8ea840e9eeafae3766e4bca9,Doručovací adresa země není aktivní.
appcreateorder_21117dd42fc79f46a81ccb5f7d66c460,Objednávka nemůže být vytvořen
appcreateorder_a6addeb40ed0462485e6e95ba6def81f,Chyba v platbě úspora objednávky
appcreateorder_845c771e8459c46db334e5ad7bbad9b8,Objednat Vytvořil Úspěšně
appcreateorder_b08d3867be98e6fff3233cd40ab8134a,Vytvoření objednávky se nezdařilo
appcreateorder_43423b4056880b08f2c9aa50d8670531,Košík nelze vložit nebo příkaz již byl umístěn pomocí tohoto vozíku
appforgotpassword_e267e2be02cf3e29f4ba53b5d97cf78a,Neplatná emailová adresa.
appforgotpassword_b51cb75f23091c0f98bea54ae7615080,Neexistuje žádný účet registrován pro tuto e-mailovou adresu.
appforgotpassword_194496a52d41fba1c9e6140c4eb34f83,Nelze vygenerovat heslo pro tento účet.
appforgotpassword_922dc0515643fb69585b67281692644a,Můžete obnovit svůj hesla pouze každý% d minuta (y)
appforgotpassword_62a0ad9b46a5eed332c032b0c11ce07a,Potvrzovací e-mail byl odeslán na vaši adresu:
appforgotpassword_6e2fc94479ac0c63543886a235e3370c,Při odesílání e-mailu došlo k chybě.
appforgotpassword_ea3729ee448ef1d87bd298843f658749,Email parametr není nastaven
appgetaddressdetails_69fb27bd2e44f47a9ae98aa1695df278,Nelze načíst adresu
appgetaddressdetails_c462960a6bd53db34f778d0562703ad3,DIČ
appgetaddressdetails_b60bb13a87fe3ae5463aeb0980a5a8a1,Identifikační číslo
appgetaddressdetails_e4eb5dadb6ee84c5c55a8edf53f6e554,Zip / Postal Code
appgetaddressdetails_20db0bfeecd8fe60533206a2b5e9891a,Jméno
appgetaddressdetails_8d3f5eff9c40ee315d452392bed5309b,Příjmení
appgetaddressdetails_dd7bf230fde8d4836917806aff6a6b27,Adresa
appgetaddressdetails_846a54955f32846032981f8fe48c35ff,2. řádek adresy)
appgetaddressdetails_57d056ed0984166336b7879c2af3657f,Město
appgetaddressdetails_59716c97497eb9694541f7c3d37b1a4d,Země
appgetaddressdetails_46a2a41cc6e552044816a2d04634545d,Stát
appgetaddressdetails_1c76cbfe21c6f44c1d1e59d54f3e4420,Společnost
appgetaddressdetails_fe66abce284ec8589e7d791185b5c442,Domácí telefon
appgetaddressdetails_41c2fff4867cc204120f001e7af20f7a,Mobilní telefon
appgetaddressdetails_0f68b904e33d9ac04605aecc958bcf52,Dodatečné informace
appgetaddressdetails_711ccfcebd3f316fa55e127061a1044a,název adresa
appgetaddressdetails_37e084acb152f3e6a5877f861e08819e,Adresa úspěšně načten
appgetaddressform_c462960a6bd53db34f778d0562703ad3,DIČ
appgetaddressform_b60bb13a87fe3ae5463aeb0980a5a8a1,Identifikační číslo
appgetaddressform_e4eb5dadb6ee84c5c55a8edf53f6e554,Zip / Postal Code
appgetaddressform_20db0bfeecd8fe60533206a2b5e9891a,Jméno
appgetaddressform_8d3f5eff9c40ee315d452392bed5309b,Příjmení
appgetaddressform_dd7bf230fde8d4836917806aff6a6b27,Adresa
appgetaddressform_846a54955f32846032981f8fe48c35ff,2. řádek adresy)
appgetaddressform_57d056ed0984166336b7879c2af3657f,Město
appgetaddressform_59716c97497eb9694541f7c3d37b1a4d,Země
appgetaddressform_46a2a41cc6e552044816a2d04634545d,Stát
appgetaddressform_1c76cbfe21c6f44c1d1e59d54f3e4420,Společnost
appgetaddressform_fe66abce284ec8589e7d791185b5c442,Domácí telefon
appgetaddressform_41c2fff4867cc204120f001e7af20f7a,Mobilní telefon
appgetaddressform_0f68b904e33d9ac04605aecc958bcf52,Dodatečné informace
appgetaddressform_711ccfcebd3f316fa55e127061a1044a,název adresa
appgetaddressform_958a1c94f27df673dc5b258b2b0cc528,Nelze získat schváleny pro zemi
appgetaddressform_69fb27bd2e44f47a9ae98aa1695df278,Nelze načíst adresu
appgetaddressform_37e084acb152f3e6a5877f861e08819e,Adresa úspěšně načten
appgetcartdetails_08d0d87bfba2d0c58c04494fc2143cad,Promiňte. Vozík id chybí
appgetcartdetails_56ca67fde405db4d75fb5fc3350db81b,Promiňte. Nemůžeme obnovit pořádek.
appgetcartdetails_b22604f6ddd3fb79ff38568a5a0141e0,Některé položky již nejsou k dispozici, a nejsme schopni obnovit pořádek.
appgetcartdetails_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appgetcartdetails_694e8d1f2ee056f98ee488bdc4982d73,Množství
appgetcartdetails_6665e3761028c84e1d228de3432229ed,SKU
appgetcartdetails_287234a1ff35a314b5b6bc4e5828e745,Atributy
appgetcartdetails_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appgetcartdetails_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appgetcartdetails_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appgetcartdetails_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appgetcartdetails_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appgetcartdetails_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appgetcartdetails_f3547ae5e06426d87312eff7dda775aa,Celková cena
appgetcartdetails_ec1f68c64fcaf8260cfacf58cd4d4af7,Využijte našich exkluzivních nabídek
appgetcategorydetails_b22529647cbe4f4d260f349baec9d630,Kategorie id chybí
appgetcategorydetails_bd964ff97bc91ddd97289acc711b84f9,Hledaný výraz chybí
appgetcustomeraddress_a00acc9b49d721d1e3006715a0ce7014,E-mailová adresa není platná
appgetcustomeraddress_18dc0570e2b85b76ff5773027fd75248,Zákazník není pro tuto e-mailovou adresu existuje.
appgetfilters_b22529647cbe4f4d260f349baec9d630,Kategorie id chybí
appgetfilters_bd964ff97bc91ddd97289acc711b84f9,Hledaný výraz chybí
appgethome_cf75826aa860140d05ad30996cf175e8,Nejlepší Sliders
appgethome_2d9b9a764fb0be4be10e1b2fce63f561,Slider
appgethome_7c0ad572fae721669da32e4ef439c1b4,Top bannery
appgethome_6ff29916f99fff9d2494d28e721ae77e,Prapor
appgethome_9a90d6756768c9c8b41e0db9a384c251,Celovečerní produkty
appgethome_1276c482cb32edf4fce51761a9792716,Speciální produkty
appgethome_26e2d291250a79cb9d62ae299ff7fffa,Nejprodávanější produkty
appgethome_31d26a6487e08357bd771619e894b0c6,Nově příchozí
appgethome_dfcd44bdec4088a7597f5a3d85c6d5bf,Nelze načíst vozík
appgethome_430328c36edf7e197527273c216533a2,Objednat vytvořený tímto košíku
appgetmobilepaymentmethods_98ce442fb183c4de4fbe7d67e056b117,Žádné vyplacení je povoleno
appgetmobilepaymentmethods_5b7d532d6e7746d362b89e27cdb51a36,Žádné vyplacení byla nakonfigurována
appgetorderdetails_a237560ece5935da47dd1c9b1cea4d19,Pořadí id chybí
appgetorderdetails_5f34ed748b73efce4af2b84461f86d51,Nelze načíst podrobnosti o objednávce
appgetorders_ca3e85454678003dbdba2fbbb34ec11d,Nepodařilo se načíst historii objednávek
appgetorders_a00acc9b49d721d1e3006715a0ce7014,E-mailová adresa není platná
appgetorders_dcf951059ca444f87d296d3b192783e6,Zákazník s tímto e-mailem neexistuje
appgetorders_694e8d1f2ee056f98ee488bdc4982d73,Množství
appgetorders_6665e3761028c84e1d228de3432229ed,SKU
appgetproductdetails_04ed5396be771c71ecc89b3beb627684,Product ID chybí
appgetproductdetails_dfbe69c6d9568ecb0e65e7b32ed92a3a,Produkt nenalezen
appgetproductdetails_1be6f9eb563f3bf85c78b4219bf09de9,Značka
appgetproductdetails_6665e3761028c84e1d228de3432229ed,SKU
appgetproductdetails_9e2941b3c81256fac10392aaca4ccfde,Stav
appgetproductdetails_db5963a70dd965e53337043be1dcb991,Tento produkt není k dispozici v App, protože má soubor úprav pole.
appgetprofile_a00acc9b49d721d1e3006715a0ce7014,E-mailová adresa není platná
appgetprofile_dcf951059ca444f87d296d3b192783e6,Zákazník s tímto e-mailem neexistuje
appgetregions_958a1c94f27df673dc5b258b2b0cc528,Nelze získat schváleny pro zemi
appgetwishlist_ac588dbf1ea617c2628b10c2406e0ed0,Přání modul je buď neaktivní nebo není nainstalována.
appgetwishlist_b65db11517e70558e870ea4bc6dfbf0e,Je neexistuje zákazník s tímto e-mailem.
appgetwishlist_0e042db7a9a38d0d1c833dd4c141d77d,E-mailová adresa je chybí nebo je neplatný.
appgetwishlist_9db509ecd7d739938fdc3dda8bc12bc9,nalezeno v seznamu přání žádný výrobek
appguestregistration_164b06b3d14521584edbc4dda05b220d,Uveďte prosím e-mailovou adresu
appguestregistration_e267e2be02cf3e29f4ba53b5d97cf78a,Neplatná emailová adresa.
appguestregistration_db8a6a25796eff7d9010bfe3774c2382,Účet pomocí tohoto e-mailovou adresu již byl zaregistrován.
applogin_96550f206ccd1c321be787e4f1875ed4,E-mailová adresa nutná.
applogin_e267e2be02cf3e29f4ba53b5d97cf78a,Neplatná emailová adresa.
applogin_20aedd1e6de4dcf8d115b5a7424c58d7,je vyžadováno heslo.
applogin_e388a72d1abdd7af5f08b44ff698afbe,Neplatné heslo.
applogin_47d03b2e9a827c42170ba95d35af06d2,Váš účet ISN \ 't k dispozici v tomto okamžiku.
applogin_802b207b05fe5cea22e11b9db804b33d,Ověření se nezdařilo.
applogin_23449e6c6fb211fb8bf12eae126cf555,Přihlášení uživatel úspěšně
appregisteruser_7ffc7db3c8072a468937761b9fa9583c,Neplatný First Name.
appregisteruser_5226b39ad81c6d482af27920b0d532ae,Neplatná Příjmení.
appregisteruser_e267e2be02cf3e29f4ba53b5d97cf78a,Neplatná emailová adresa.
appregisteruser_e388a72d1abdd7af5f08b44ff698afbe,Neplatné heslo.
appregisteruser_0984b2c0c7aa81adae4ab22b4c39d350,zákaznická data nejsou k dispozici.
appregisteruser_db8a6a25796eff7d9010bfe3774c2382,Účet pomocí tohoto e-mailovou adresu již byl zaregistrován.
appregisteruser_52255315e18d82f8e728722aae90ed1e,Zákazník byl úspěšně vytvořen.
appremovedelayshipping_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appremovedelayshipping_694e8d1f2ee056f98ee488bdc4982d73,Množství
appremovedelayshipping_6665e3761028c84e1d228de3432229ed,SKU
appremovedelayshipping_287234a1ff35a314b5b6bc4e5828e745,Atributy
appremovedelayshipping_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appremovedelayshipping_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appremovedelayshipping_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appremovedelayshipping_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appremovedelayshipping_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appremovedelayshipping_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appremovedelayshipping_f3547ae5e06426d87312eff7dda775aa,Celková cena
appremovedelayshipping_ec1f68c64fcaf8260cfacf58cd4d4af7,Využijte našich exkluzivních nabídek
appremovegiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appremovegiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,Množství
appremovegiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appremovegiftwrapping_287234a1ff35a314b5b6bc4e5828e745,Atributy
appremovegiftwrapping_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appremovegiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appremovegiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appremovegiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appremovegiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appremovegiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appremovegiftwrapping_f3547ae5e06426d87312eff7dda775aa,Celková cena
appremovegiftwrapping_ec1f68c64fcaf8260cfacf58cd4d4af7,Využijte našich exkluzivních nabídek
appremoveproduct_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appremoveproduct_694e8d1f2ee056f98ee488bdc4982d73,Množství
appremoveproduct_6665e3761028c84e1d228de3432229ed,SKU
appremoveproduct_287234a1ff35a314b5b6bc4e5828e745,Atributy
appremoveproduct_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appremoveproduct_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appremoveproduct_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appremoveproduct_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appremoveproduct_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appremoveproduct_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appremoveproduct_f3547ae5e06426d87312eff7dda775aa,Celková cena
appremoveproduct_824a96e60e7720c695e8c6f7abd856f4,Požaduje se minimální nákup celkem% 1s pro ověření objednávky, aktuální Celková je k% 2s
appremoveproduct_ec1f68c64fcaf8260cfacf58cd4d4af7,Využijte našich exkluzivních nabídek
appremoveproduct_83af0c74c4cd7eef63a11d3ba7e48fda,Údaje o výrobku chybí.
appremoveproduct_f7ac9125e391518b45badf32ca5b152b,Id produktu chybí.
appremoveproduct_dfbe69c6d9568ecb0e65e7b32ed92a3a,Produkt nenalezen
appremoveproduct_0d38c90d843c787c0be14f790998210c,Musíte přidat% d minimální množství
appremoveproduct_3a3f4a8eb22f25c672d3af4e42df7d33,Výrobek byl úspěšně smazán
appremovevoucher_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appremovevoucher_694e8d1f2ee056f98ee488bdc4982d73,Množství
appremovevoucher_6665e3761028c84e1d228de3432229ed,SKU
appremovevoucher_287234a1ff35a314b5b6bc4e5828e745,Atributy
appremovevoucher_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appremovevoucher_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appremovevoucher_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appremovevoucher_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appremovevoucher_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appremovevoucher_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appremovevoucher_f3547ae5e06426d87312eff7dda775aa,Celková cena
appremovevoucher_824a96e60e7720c695e8c6f7abd856f4,Požaduje se minimální nákup celkem% 1s pro ověření objednávky, aktuální Celková je k% 2s
appremovevoucher_ec1f68c64fcaf8260cfacf58cd4d4af7,Využijte našich exkluzivních nabídek
appremovevoucher_b718489ea250655f5a6de41d6ad9539e,Poukaz úspěšně odstraněn
appremovevoucher_15bddec15f9c9237c333ed66cf65baf6,Chyba při odstraňování poukázku
appremovewishlist_64d3e466dc798bae867ca9044b65822e,Nelze načíst produkt
appremovewishlist_ac588dbf1ea617c2628b10c2406e0ed0,Přání modul je buď neaktivní nebo není nainstalována.
appremovewishlist_b65db11517e70558e870ea4bc6dfbf0e,Je neexistuje zákazník s tímto e-mailem.
appremovewishlist_0e042db7a9a38d0d1c833dd4c141d77d,E-mailová adresa je chybí nebo je neplatný.
appremovewishlist_956d818758e07660a5885268e15c92a9,Produkt odstraněn ze seznamu přání
appreorder_56ca67fde405db4d75fb5fc3350db81b,Promiňte. Nemůžeme obnovit pořádek.
appreorder_b22604f6ddd3fb79ff38568a5a0141e0,Některé položky již nejsou k dispozici, a nejsme schopni obnovit pořádek.
appreorder_1c5fea3a8662e49ee07edf2b7fd22eb5,Promiňte. Nemůžeme obnovit pořádek. Pořadí Id chybí
appreorder_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appreorder_694e8d1f2ee056f98ee488bdc4982d73,Množství
appreorder_6665e3761028c84e1d228de3432229ed,SKU
appreorder_287234a1ff35a314b5b6bc4e5828e745,Atributy
appreorder_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appreorder_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appreorder_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appreorder_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appreorder_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appreorder_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appreorder_f3547ae5e06426d87312eff7dda775aa,Celková cena
appreorder_824a96e60e7720c695e8c6f7abd856f4,Požaduje se minimální nákup celkem% 1s pro ověření objednávky, aktuální Celková je k% 2s
appreorder_ec1f68c64fcaf8260cfacf58cd4d4af7,Využijte našich exkluzivních nabídek
appsavegiftmessage_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appsavegiftmessage_15bddec15f9c9237c333ed66cf65baf6,Chyba při odstraňování poukázku
appsavegiftmessage_4af3f045da697ee7929661dd4dde0242,Dar zpráva ukládá
appsavegiftmessage_694e8d1f2ee056f98ee488bdc4982d73,Množství
appsavegiftmessage_6665e3761028c84e1d228de3432229ed,SKU
appsavegiftmessage_287234a1ff35a314b5b6bc4e5828e745,Atributy
appsavegiftmessage_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appsavegiftmessage_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appsavegiftmessage_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appsavegiftmessage_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appsavegiftmessage_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
