apicall_954834405d762e3b854af89d3841eb2a,Fordern Sie nicht verfügbar
appgetaddressdetails_37e084acb152f3e6a5877f861e08819e,Adresse erfolgreich geladen
appgetaddressform_c462960a6bd53db34f778d0562703ad3,Umsatzsteuer-Identifikationsnummer
appgetaddressform_b60bb13a87fe3ae5463aeb0980a5a8a1,Identifikationsnummer
appgetaddressform_e4eb5dadb6ee84c5c55a8edf53f6e554,PLZ / Postleitzahl
appgetaddressform_20db0bfeecd8fe60533206a2b5e9891a,Vorname
appgetaddressform_8d3f5eff9c40ee315d452392bed5309b,Nachname
appgetaddressform_dd7bf230fde8d4836917806aff6a6b27,Adresse
appgetaddressform_846a54955f32846032981f8fe48c35ff,Adresszeile 2)
appgetaddressform_57d056ed0984166336b7879c2af3657f,Stadt
appgetaddressform_59716c97497eb9694541f7c3d37b1a4d,Land
appgetaddressform_46a2a41cc6e552044816a2d04634545d,Zustand
appgetaddressform_1c76cbfe21c6f44c1d1e59d54f3e4420,Unternehmen
appgetaddressform_fe66abce284ec8589e7d791185b5c442,Festnetztelefon
appgetaddressform_41c2fff4867cc204120f001e7af20f7a,Mobiltelefon
appgetaddressform_0f68b904e33d9ac04605aecc958bcf52,Zusätzliche Information
appgetaddressform_711ccfcebd3f316fa55e127061a1044a,Adresse Titel
appgetaddressform_958a1c94f27df673dc5b258b2b0cc528,Unfähig Staat für Land zu bekommen
appgetaddressform_69fb27bd2e44f47a9ae98aa1695df278,Unfähig Adresse zu laden
appgetaddressform_37e084acb152f3e6a5877f861e08819e,Adresse erfolgreich geladen
appgetcartdetails_08d0d87bfba2d0c58c04494fc2143cad,Es tut uns leid. Wagen ID fehlt
appgetcartdetails_56ca67fde405db4d75fb5fc3350db81b,Es tut uns leid. Wir können Ihre Bestellung nicht erneuern.
appgetcartdetails_b22604f6ddd3fb79ff38568a5a0141e0,Einige Artikel sind nicht mehr verfügbar, und wir sind nicht in der Lage, Ihren Auftrag zu erneuern.
appgetcartdetails_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appgetcartdetails_694e8d1f2ee056f98ee488bdc4982d73,Menge
appgetcartdetails_6665e3761028c84e1d228de3432229ed,SKU
appgetcartdetails_287234a1ff35a314b5b6bc4e5828e745,Attribute
appgetcartdetails_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
appgetcartdetails_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appgetcartdetails_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appgetcartdetails_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appgetcartdetails_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appgetcartdetails_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appgetcartdetails_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appgetcartdetails_ec1f68c64fcaf8260cfacf58cd4d4af7,Nutzen Sie unsere exklusiven Angebote
appgetcategorydetails_b22529647cbe4f4d260f349baec9d630,Kategorie-ID fehlt
appgetcategorydetails_bd964ff97bc91ddd97289acc711b84f9,Suchbegriff fehlt
appgetcustomeraddress_a00acc9b49d721d1e3006715a0ce7014,Email Adresse ist nicht gültig
appgetcustomeraddress_18dc0570e2b85b76ff5773027fd75248,Kunde nicht existiert für diese E-Mail-Adresse.
appgetfilters_b22529647cbe4f4d260f349baec9d630,Kategorie-ID fehlt
appgetfilters_bd964ff97bc91ddd97289acc711b84f9,Suchbegriff fehlt
appgethome_cf75826aa860140d05ad30996cf175e8,Top Sliders
appgethome_2d9b9a764fb0be4be10e1b2fce63f561,Schieberegler
appgethome_7c0ad572fae721669da32e4ef439c1b4,Top Banner
appgethome_6ff29916f99fff9d2494d28e721ae77e,Banner
appgethome_9a90d6756768c9c8b41e0db9a384c251,Feature Produkte
appgethome_1276c482cb32edf4fce51761a9792716,Spezielle Produkte
appgethome_26e2d291250a79cb9d62ae299ff7fffa,Bestseller Produkte
appgethome_31d26a6487e08357bd771619e894b0c6,Neu eingetroffen
appgethome_dfcd44bdec4088a7597f5a3d85c6d5bf,Unfähig Warenkorb zu laden
appgethome_430328c36edf7e197527273c216533a2,Bestellen Sie dieses Warenkorb erstellt
appgetmobilepaymentmethods_98ce442fb183c4de4fbe7d67e056b117,Keine Zahlungsmethoden aktiviert
appgetmobilepaymentmethods_5b7d532d6e7746d362b89e27cdb51a36,Keine Zahlungsmethoden konfiguriert wurde
appgetorderdetails_a237560ece5935da47dd1c9b1cea4d19,Auftrags-ID fehlt
appgetorderdetails_5f34ed748b73efce4af2b84461f86d51,Unfähig, um Details zu laden
appgetorders_ca3e85454678003dbdba2fbbb34ec11d,Unfähig, um Geschichte zu laden
appgetorders_a00acc9b49d721d1e3006715a0ce7014,Email Adresse ist nicht gültig
appgetorders_dcf951059ca444f87d296d3b192783e6,Kunden mit dieser E-Mail nicht existieren
appgetorders_694e8d1f2ee056f98ee488bdc4982d73,Menge
appgetorders_6665e3761028c84e1d228de3432229ed,SKU
appgetproductdetails_04ed5396be771c71ecc89b3beb627684,Produkt-ID fehlt
appgetproductdetails_dfbe69c6d9568ecb0e65e7b32ed92a3a,Produkt nicht gefunden
appgetproductdetails_1be6f9eb563f3bf85c78b4219bf09de9,Marke
appgetproductdetails_6665e3761028c84e1d228de3432229ed,SKU
appgetproductdetails_9e2941b3c81256fac10392aaca4ccfde,Bedingung
appgetproductdetails_db5963a70dd965e53337043be1dcb991,Dieses Produkt ist auf App nicht verfügbar, da es hat Anpassung Feld Datei.
appgetprofile_a00acc9b49d721d1e3006715a0ce7014,Email Adresse ist nicht gültig
appgetprofile_dcf951059ca444f87d296d3b192783e6,Kunden mit dieser E-Mail nicht existieren
appgetregions_958a1c94f27df673dc5b258b2b0cc528,Unfähig Staat für Land zu bekommen
appgetwishlist_ac588dbf1ea617c2628b10c2406e0ed0,Wunschliste Modul ist entweder inaktiv oder nicht installiert.
appgetwishlist_b65db11517e70558e870ea4bc6dfbf0e,Kunden mit dieser E-Mail ist nicht vorhanden.
appgetwishlist_0e042db7a9a38d0d1c833dd4c141d77d,E-Mail-Adresse fehlt oder ist ungültig.
appgetwishlist_9db509ecd7d739938fdc3dda8bc12bc9,Kein Produkt in der Wunschliste gefunden
appguestregistration_164b06b3d14521584edbc4dda05b220d,Bitte geben Sie E-Mail-Adresse
appguestregistration_e267e2be02cf3e29f4ba53b5d97cf78a,Ungültige E-Mail-Adresse.
appguestregistration_db8a6a25796eff7d9010bfe3774c2382,Ein Konto dieser E-Mail-Adresse wird bereits registriert.
applogin_96550f206ccd1c321be787e4f1875ed4,Eine E-Mail-Adresse erforderlich.
applogin_e267e2be02cf3e29f4ba53b5d97cf78a,Ungültige E-Mail-Adresse.
applogin_20aedd1e6de4dcf8d115b5a7424c58d7,Passwort wird benötigt.
applogin_e388a72d1abdd7af5f08b44ff698afbe,Ungültiges Passwort.
applogin_47d03b2e9a827c42170ba95d35af06d2,Ihr Konto isn \ 't zu diesem Zeitpunkt zur Verfügung.
applogin_802b207b05fe5cea22e11b9db804b33d,Authentifizierung fehlgeschlagen.
applogin_23449e6c6fb211fb8bf12eae126cf555,Benutzeranmeldung erfolgreich
appregisteruser_7ffc7db3c8072a468937761b9fa9583c,Ungültiger Vorname.
appregisteruser_5226b39ad81c6d482af27920b0d532ae,Ungültige Nachname.
appregisteruser_e267e2be02cf3e29f4ba53b5d97cf78a,Ungültige E-Mail-Adresse.
appregisteruser_e388a72d1abdd7af5f08b44ff698afbe,Ungültiges Passwort.
appregisteruser_0984b2c0c7aa81adae4ab22b4c39d350,Kundendaten sind nicht verfügbar.
appregisteruser_db8a6a25796eff7d9010bfe3774c2382,Ein Konto dieser E-Mail-Adresse wird bereits registriert.
appregisteruser_52255315e18d82f8e728722aae90ed1e,Kunden erfolgreich erstellt.
appremovedelayshipping_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appremovedelayshipping_694e8d1f2ee056f98ee488bdc4982d73,Menge
appremovedelayshipping_6665e3761028c84e1d228de3432229ed,SKU
appremovedelayshipping_287234a1ff35a314b5b6bc4e5828e745,Attribute
appremovedelayshipping_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
appremovedelayshipping_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appremovedelayshipping_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appremovedelayshipping_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appremovedelayshipping_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appremovedelayshipping_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appremovedelayshipping_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appremovedelayshipping_ec1f68c64fcaf8260cfacf58cd4d4af7,Nutzen Sie unsere exklusiven Angebote
appremovegiftwrapping_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appremovegiftwrapping_694e8d1f2ee056f98ee488bdc4982d73,Menge
appremovegiftwrapping_6665e3761028c84e1d228de3432229ed,SKU
appremovegiftwrapping_287234a1ff35a314b5b6bc4e5828e745,Attribute
appremovegiftwrapping_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
appremovegiftwrapping_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appremovegiftwrapping_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appremovegiftwrapping_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appremovegiftwrapping_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appremovegiftwrapping_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appremovegiftwrapping_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appremovegiftwrapping_ec1f68c64fcaf8260cfacf58cd4d4af7,Nutzen Sie unsere exklusiven Angebote
appremoveproduct_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appremoveproduct_694e8d1f2ee056f98ee488bdc4982d73,Menge
appremoveproduct_6665e3761028c84e1d228de3432229ed,SKU
appremoveproduct_287234a1ff35a314b5b6bc4e5828e745,Attribute
appremoveproduct_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
appremoveproduct_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appremoveproduct_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appremoveproduct_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appremoveproduct_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appremoveproduct_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appremoveproduct_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appremoveproduct_824a96e60e7720c695e8c6f7abd856f4,Eine Mindestabnahme insgesamt% 1s benötigt, um Ihre Bestellung, aktuelle Gesamt ist% 2s zu validieren
appremoveproduct_ec1f68c64fcaf8260cfacf58cd4d4af7,Nutzen Sie unsere exklusiven Angebote
appremoveproduct_83af0c74c4cd7eef63a11d3ba7e48fda,Produktdaten fehlen.
appremoveproduct_f7ac9125e391518b45badf32ca5b152b,Produkt-ID fehlt.
appremoveproduct_dfbe69c6d9568ecb0e65e7b32ed92a3a,Produkt nicht gefunden
appremoveproduct_0d38c90d843c787c0be14f790998210c,Sie müssen% d mindestens hinzufügen
appremoveproduct_3a3f4a8eb22f25c672d3af4e42df7d33,Produkt erfolgreich gelöscht
appremovevoucher_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appremovevoucher_694e8d1f2ee056f98ee488bdc4982d73,Menge
appremovevoucher_6665e3761028c84e1d228de3432229ed,SKU
appremovevoucher_287234a1ff35a314b5b6bc4e5828e745,Attribute
appremovevoucher_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
appremovevoucher_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appremovevoucher_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appremovevoucher_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appremovevoucher_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appremovevoucher_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appremovevoucher_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appremovevoucher_824a96e60e7720c695e8c6f7abd856f4,Eine Mindestabnahme insgesamt% 1s benötigt, um Ihre Bestellung, aktuelle Gesamt ist% 2s zu validieren
appremovevoucher_ec1f68c64fcaf8260cfacf58cd4d4af7,Nutzen Sie unsere exklusiven Angebote
appremovevoucher_b718489ea250655f5a6de41d6ad9539e,Gutschein erfolgreich entfernt
appremovevoucher_15bddec15f9c9237c333ed66cf65baf6,Fehler beim Entfernen Gutschein
appremovewishlist_64d3e466dc798bae867ca9044b65822e,Nicht imstande, ein Produkt zu laden
appremovewishlist_ac588dbf1ea617c2628b10c2406e0ed0,Wunschliste Modul ist entweder inaktiv oder nicht installiert.
appremovewishlist_b65db11517e70558e870ea4bc6dfbf0e,Kunden mit dieser E-Mail ist nicht vorhanden.
appremovewishlist_0e042db7a9a38d0d1c833dd4c141d77d,E-Mail-Adresse fehlt oder ist ungültig.
appremovewishlist_956d818758e07660a5885268e15c92a9,Produkt von der Wunschliste entfernt
appreorder_56ca67fde405db4d75fb5fc3350db81b,Es tut uns leid. Wir können Ihre Bestellung nicht erneuern.
appreorder_b22604f6ddd3fb79ff38568a5a0141e0,Einige Artikel sind nicht mehr verfügbar, und wir sind nicht in der Lage, Ihren Auftrag zu erneuern.
appreorder_1c5fea3a8662e49ee07edf2b7fd22eb5,Es tut uns leid. Wir können Ihre Bestellung nicht erneuern. Bestellen Id fehlt
appreorder_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appreorder_694e8d1f2ee056f98ee488bdc4982d73,Menge
appreorder_6665e3761028c84e1d228de3432229ed,SKU
appreorder_287234a1ff35a314b5b6bc4e5828e745,Attribute
appreorder_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
